dept_no,emp_no,dept_name
d001,110022,Marketing
d001,110039,Marketing
d002,110085,Finance
d002,110114,Finance
d003,110183,Human Resources
d003,110228,Human Resources
d004,110303,Production
d004,110344,Production
d004,110386,Production
d004,110420,Production
d005,110511,Development
d005,110567,Development
d006,110725,Quality Management
d006,110765,Quality Management
d006,110800,Quality Management
d006,110854,Quality Management
d007,111035,Sales
d007,111133,Sales
d008,111400,Research
d008,111534,Research
d009,111692,Customer Service
d009,111784,Customer Service
d009,111877,Customer Service
d009,111939,Customer Service
